DEBUG 01/February/2024 14:53:44 class_views:	 Creating a new record
DEBUG 01/February/2024 14:53:54 send_email_wrapper:	 Got 2 records with date
DEBUG 01/February/2024 14:53:54 send_email_wrapper:	 Got 1 records with location & shift
DEBUG 01/February/2024 14:53:54 send_email_wrapper:	 [{'name': "Aunt Caroline's Closet", 'status': 'Good', 'details': ''}, {'name': 'Penthouse', 'status': 'Good', 'details': ''}, {'name': "Principal's House", 'status': 'Good', 'details': ''}, {'name': 'Submerged', 'status': 'Good', 'details': ''}, {'name': 'Amnesia', 'status': 'Functional', 'details': ''}]
INFO 01/February/2024 14:53:56 send_email_wrapper:	  Sent Shift Report for mckinney, on 2024-01-30 / for shift AM to this distribution list ['jayantha@ntxescape.com', 'mckinney@ntxescape.com', 'holly@ntxescape.com'] successfully
DEBUG 01/February/2024 15:00:51 class_views:	 Creating a new record
DEBUG 01/February/2024 15:01:40 send_email_wrapper:	 Got 1 records with date
DEBUG 01/February/2024 15:01:40 send_email_wrapper:	 Got 1 records with location & shift
DEBUG 01/February/2024 15:01:41 send_email_wrapper:	 [{'name': 'Jailhouse', 'status': 'Good', 'details': ''}, {'name': 'Penthouse', 'status': 'Good', 'details': ''}, {'name': 'Empire City Heroes', 'status': 'Good', 'details': ''}, {'name': 'Empire City Villains', 'status': 'Good', 'details': ''}, {'name': "Dragon's Curse", 'status': 'Good', 'details': ''}, {'name': "Killer's Campground", 'status': 'Functional', 'details': " Owl isn't working 100% of the time. Have a wonderful night!"}, {'name': 'Summer Camp', 'status': 'Functional', 'details': 'Firework and watering can out(ticket sent). New RFID for new puzzled to be installed.'}]
INFO 01/February/2024 15:01:42 send_email_wrapper:	  Sent Shift Report for plano, on 2024-02-01 / for shift AM to this distribution list ['jayantha@ntxescape.com', 'plano@ntxescape.com', 'holly@ntxescape.com'] successfully
DEBUG 01/February/2024 17:11:04 class_views:	 Creating a new record
DEBUG 01/February/2024 17:11:48 send_email_wrapper:	 Got 2 records with date
DEBUG 01/February/2024 17:11:48 send_email_wrapper:	 Got 1 records with location & shift
DEBUG 01/February/2024 17:11:48 send_email_wrapper:	 [{'name': "Aunt Caroline's Closet", 'status': 'Good', 'details': ''}, {'name': 'Penthouse', 'status': 'Functional', 'details': 'One clue not working with bypasses'}, {'name': "Principal's House", 'status': 'Good', 'details': ''}, {'name': 'Submerged', 'status': 'Functional', 'details': ''}, {'name': 'Amnesia', 'status': 'Good', 'details': ''}]
INFO 01/February/2024 17:11:49 send_email_wrapper:	  Sent Shift Report for mckinney, on 2024-02-01 / for shift AM to this distribution list ['jayantha@ntxescape.com', 'mckinney@ntxescape.com', 'holly@ntxescape.com'] successfully
DEBUG 01/February/2024 17:48:57 class_views:	 Creating a new record
DEBUG 01/February/2024 17:51:59 send_email_wrapper:	 Got 3 records with date
DEBUG 01/February/2024 17:51:59 send_email_wrapper:	 Got 1 records with location & shift
DEBUG 01/February/2024 17:51:59 send_email_wrapper:	 [{'name': 'Jailhouse', 'status': 'Functional', 'details': ''}, {'name': 'Penthouse', 'status': 'Functional', 'details': ''}, {'name': 'Empire City Heroes', 'status': 'Good', 'details': ''}, {'name': 'Empire City Villains', 'status': 'Broken', 'details': ''}, {'name': "Dragon's Curse", 'status': 'Functional', 'details': ''}, {'name': "Killer's Campground", 'status': 'Good', 'details': ''}, {'name': 'Summer Camp', 'status': 'Good', 'details': ''}]
INFO 01/February/2024 17:52:00 send_email_wrapper:	  Sent Shift Report for plano, on 2024-02-01 / for shift PM to this distribution list ['jayantha@ntxescape.com', 'plano@ntxescape.com', 'holly@ntxescape.com'] successfully
DEBUG 01/February/2024 19:17:13 class_views:	 Creating a new record
